Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
Rollins CARE Pharmacy,https://carepharmacies.com/blog/location/rollins-care-pharmacy/,184 Rollins Ave,Rockville,Maryland,MD,20852,301-816-2801,"HIV, Oncology, Pain Management, Transplantation",Andrew Fox,,,Member,CARE Pharmacies,"Counseling and education, Delivery",,,,,
Rosemont Specialty Pharmacy,http://www.rosemontpharmacy.com,1149 E. Lancaster Avenue,Rosemont,Pennsylvania,PA,19010,610-525-3570,"Fertility, Women's Health",Ennio Magnarelli,,,Private,Independent,"Pharmacist on-call 24/7, Delivery, Training and Education and Counseling, Refill reminders, Financial assistance",Prior authorization coordination,Compliance monitoring,,,
Ross Pharmacy,https://stores.healthmart.com/rosspharmacy/stores.aspx,10879 Los Alamitos Blvd.,Los Alamitos,California,CA,90720,562-594-6888,"HIV, Oncology, Pain Management, Transplantation",Andrew Fox,,,Private,Independent,"Counseling and education, Delivery",,,,,
Rush Specialty Pharmacy,https://www.rush.edu/patients-visitors/hospital-amenities/pharmacy,1653 West Congress Parkway,Chicago,Illinois,IL,60612,888-352-7874,"Dermatology, Gastroenterology, Hepatology, Infectious disease, Multiple Sclerosis, Rheumatoid arthritis",Scott Sonnenschein,,,Subsidiary,Rush University Medical Center,"Counseling and education, insurance verification and price authorization, prescription fulfullment and refill management, patient education",Adherence monitoring,,,,
Rutland Pharmacy,http://rutlandpharmacy.com/,75 Allen Street,Rutland,Vermont,VT,05701,802-775-2545,"HIV, Oncology, Pain Management, Transplantation",Amanda Winchell,,URAC,Private,Independent,"Counseling and education, Delivery",,,,,
RX Biotech,http://www.rxbiotech.com,8737 Beverly Blvd.,West Hollywood,California,CA,90048,310-657-2881,"Bleeding disorders, Anticoagulants, Endocrine, Immunology, Behavioral Health, Gaucher's Disease, Growth Hormone, Oncology, Fertility, Hemophilia, Multiple Sclerosis, Hepatitis, Neutropenia, Osteoarthritis, Osteoporosis, HIV, Pain Management, Parkinson Disease, Psoriasis, Pulmonology, Crohn's Disease, Cystic Fibrosis, Hunter's Syndrome",Mak Bagheri,,,Subsidiary,Giant Eagle,"Counseling and education, Delivery, Prior Authorization, Pharmacist and Nurse support","Insurance authorization, ",,,,
Rx Clinic Pharmacy,http://www.rxclinicpharmacy.com/,7308 East Independence Blvd.,Charlotte,North Carolina,NC,28227,704-537-0909,"HRT, Pain Management",Amino Abubakar,,URAC,Private,Independent,"Counseling and education, Delivery",,,,,
Rx To Go,https://www.flcancer.com/rxtogoservice,4371 Veronica S. Shoemaker,Fort Myers,Florida,FL,33916,239-278-4691,Oncology,Melody Chang,,URAC,Subsidiary,Florida Cancer Specialists,"Delivery, Counseling and education, Insurance assistance",,,,Pomalyst,
Safeway Specialty Care,http://www.safeway.com/ShopStores/Pharmacy-Services.page,5918 Stoneridge Mall Rd,Pleasanton,California,CA,94588,877-466-8028,"Oncology, Hepatitis, Behavioral Health, Osteoporosis, Psoriasis, Rheumatoid Arthritis, Crohn's Disease, Transplantation, Multiple Sclerosis",Brian Hille,,ACHC,Subsidiary,Safeway,"Insurance/benefits and financial assistance investigation, Delivery, Counseling and education","Prior authorization support, patient education",,,"Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Orkambi",
Salveo Specialty Pharmacy,http://www.salveospecialty.com,"270 First Avenue South, Suite 302 ",St. Petersburg,Florida,FL,33701,727-873-1142,"Ankylosing Spondylitis, Oncology, Crohn's Disease, Growth Hormone, Hemophilia, Hepatitis C, Fertility, Multiple Sclerosis, Transplantation, Osteoarthritis, Psoriasis, PAH, Rheumatoid Arthritis, RSV",Jeff Freedman,,"URAC, ACHC",Subsidiary,"OptumRx, UnitedHealth Group","Consultation, Delivery, Benefits investigation, 24/7 support","Real-time critical data, Prior Authorization, Clinical expertise","Treatment education, REMS support",,,
Schnucks Specialty Pharmacy,http://www.schnucks.com,3960 Lindell Blvd.,St. Louis,Missouri,MO,63146,314-994-4400,"HIV, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, Gastroenterology, Fertility",David Chism,,,Subsidiary,Schnucks,"Delivery, Patient education, Refill reminders",Disease state management programs,,"Springfield, IL; Rockford, IL; Brentwood, MO; Lindelll, MO",,
SCL Health Pharmacy Services - Franklin Pharmacy,https://www.sclhealth.org/locations/saint-joseph-hospital/services/pharmacy/treatments/,"1830 Franklin Street, Suite 190",Denver,Colorado,CO,80218,303-318-1305,"Ankylosing spondylitis, Autoimmune disorders, Bleeding disorders, Oncology, Crohn's disease, Hepatitis C, HIV, Multiple sclerosis, Psoriasis, Psoriatric arthritis, Rheumatoid arthritis, Juvenile arthritis",Ron Sparks,,,Subsidiary,SCL Health Saint Joseph,Counseling and education,,,,,
"Script Care, Ltd.",http://www.scriptcare.com,6380 Folsom Drive,Beaumont,Texas,TX,77706,800-880-9988,"Asthma, Dermatology",Kevin Brown,,URAC,Private,Independent,Consultation and Performance reporting,,,,,
ScriptSite Pharmacy,http://www.scriptsiterx.com/,870 Market St #1028,San Francisco,California,CA,94102,415-800-8060,"Behavioral Health, HIV, Dermatology",Mark Bornholdt,,,Private,Independent,,,,,,
Senderra RX Specialty Pharmacy,http://www.senderrarx.com,"1301 East Arapaho Road, Suite 101",Richardson,Texas,TX,75081,888-777-5547,"Asthma, Cardiovascular, Crohn's Disease, Endocrine Disorders, Hemophilia, Hepatitis C, Multiple Sclerosis, Immunology, Osteoarthritis, Osteoporosis, Psoriasis, Rheumatoid Arthritis, Ulcerative Colitis",Win Purifoy,,"URAC, ACHC",Private,Independent,Delivery,"Prior authorizations, Medical protocol programs","Trial, adherence, compliance, Real-time data, ","Richardson, TX; Flint, MI","Taltz, ColcuGel",
Shoppers Drug Mart Specialty Health Network,http://www.shoppersdrugmart.ca,243 Consumers Road,Toronto,Canada,CA,M2J 4W8 ,416-643-5500 ,"Oncology, Chemotherapy, Arthritis, Asthma, COPD",Pavithra Ravi,,,Subsidiary,Shoppers Drug Mart,"Counsel and education, Refill reminders, Reimbursement assistance",Case management,Reporting and analytics,,,
Simplicity Rx,https://www.simplicityrxpharmacy.com/,10160 International Blvd,West Chester Township,Ohio,OH,45246,855-513-6337,"Oncology, Hepatitis, Multiple Sclerosis, HIV, Rheumatoid Arthritis, Psoriasis, Crohn's Disease",Brad Manning,,URAC,Private,Independent,"Counseling and education, Financial assistance, refills, 24x7 support","Prior authorization support, Financial and patient support",,"Kentucky, Indiana",,
Skyemed JustRx,http://www.skyemedjustrx.com,765 Primera Blvd - Suite 1021,Lake Mary,Florida,FL,32741,866-398-2148,"Hepatitis C, HIV, IBD, Multiple Sclerosis, Psoriasis, Oncology, Osteoporosis, RSV, Rheumatoid Arthritis, Psoriasis",Deepak Ranade,,ACHC,Private,Independent,"Insurance and financial assistance, Counseling and education, On-call pharmacist, Delivery and refill reminders, ","Prior authorizations, Medication adherence","Patient Assistance Programs, Patient educator manufacturer materials, Reporting",,,
Skywalk Pharmacy,skywalkpharmacy.com,6737 W Washington St,Milwaukee,Wisconsin,WI,53214,414-266-1893,"Oncology, Cystic Fibrosis, Transplantation, Growth Hormone, Crohn's Disease, Endocrine disorders, Enzyme deficiencies, Epilepsy and Seizures, Growth Hormone, Hemophilia, Bleeding Disorders, HIV, Immunology, Rheumatoid Arthritis, Mitochondrial and other Genetic Disorders, Multiple Sclerosis, Psoriasis, PAH, Transplantation, Tuberculosis",Jake Olson,,,Member,CARE Pharmacies,"Patient counseling, drug information education and comprehensive support services, Delivery","Benefits investigation, prior authorizations and reimbursement support",,"Mequon, WI; New Berlin, WI; West Allis, WI",,
Smilow Cancer Center Hospital Specialty Pharmacy,https://www.ynhh.org/patients-visitors/amenities/pharmacy.aspx,1100 Sherman Avenue,Hamden,Connecticut,CT,06105,203-288-0414,"Oncology, Hepatitis C, HIV, Cystic Fibrosis, Multiple Sclerosis, Rheumatoid Arthritis",Renee Havriliak,,,Subsidiary,Yale New Haven Health System,"Counseling and education, Reimbursement support, delivery, refills",,,,,
SMP Pharmacy Solutions,http://smppharmacy.com/,6050 South Dixie Highway,Miami,Florida,FL,33143,855-255-5007,"Fertility, HIV, Rheumatoid Arthritis, Dermatology, Hepatitis C, Osteoarthritis",Armando Bardisa,,"URAC, ACHC",Private,Independent,"Counseling and education, Customized financial solutions, Shipping, Co-pay Assistance, Counseling and education, Delivery","Prior authorization support, Medication Therapy Management",Medication Therapy Management,"Miami, FL",ColciGel,
Soleo Health,http://www.soleohealth.com/,5 Shawmut Rd #103,Canton,Massachusetts,MA,02021,781-298-3427,"Anti-infective, Bleeding Disorders, Immunology",Barbara Prosser,,"JCAHO, URAC",Private,Independent,"Counseling and education, 24x7 pharmacist and nurse access, Reimbursement specialists",,"Dedicated account team, National clinical management and distribution coverage, Extensive health plan and payor access, Clinical protocol development",,"Hyqvia, Coagadex, Helimbra",
Solera Specialty Pharmacy,www.solerarx.com,2100 Park Central Blvd N,Pompano Beach,Florida,FL,33064,954-615-1840,"HIV, Hepatitis C, Oncology, Rheumatoid Arthritis, Multiple Sclerosis, Rare Genetic Disorders and Wound Care","Nicholas Saraniti, CEO",,ACPE,Private,Independent,"Free Delivery, Free Vitamins, Disease State Management Programs, Copayment Assistance, Insurance Specialists",,"Proactive patient communication, Connect patients to manufacturer support programs, Compliance and adherence programs",,,
South Carolina Oncology Associates,http://www.sconcology.net,166 Stoneridge Drive,Columbia,South Carolina,SC,29210,803-461-3000,Oncology,Jan Montgomery ,,,Private,Independent,,,,,,
Southcoast Specialty Pharmacy,https://www.southcoast.org,206 Mill Road,Fairhaven,Massachusetts,MA,02719,508-973-3320,"Transplantation, Steroid therapies, Epogen and neupogen, Multiple Sclerosis, Cystic Fibrosis, Rheumatoid Arthritis, Immunology, HIV, Hepatitis C, Oncology, Crohn's Disease, Hemophilia",Scott Flanagan,,,Subsidiary,Southcoast Health,"24x7 clinical support, Delivery, Counseling and education",Ongoing status reporting,"Comprehensive monitoring, Adjunct therapies, Reimbursement support, Co-pay assistance",,,
Southeast Nebraska Cancer Center,https://www.leadingcancercare.com,201 S 68th St Pl # 100,Lincoln,Nebraska,NE,68510,402-420-7000,Oncology,Julie Watson,,,Private,Independent,,,,,,
Southern Pharmaceutical Services,http://www.spsrx.net,1950 Crestwood Boulevard,Birmingham,Alabama,AL,35210,205-879-5300,Fertility,Philip Boyd,,,Subsidiary,Guardian Pharmacy,"Counseling and education, 24x7 pharmacist, Insurance verification",,,,,
Southside Infusion Pharmacy,https://www.ssrx.com,7700 Main St #100,Houston,Texas,TX,77030,713-660-8890,"ALS, Arthritis, Asthma, Oncology, COPD, Cystic Fibrosis, Diabetes, Cardiovascualr, Osteoporosis, Respiratory Disorders",Harish Katharani,,"URAC, ACHC",Subsidiary,Southside Group of Companies,,"Counseling and education, Delivery and refills, ",,"Woodland Hill, CA; Tallahassee, FL; Mamou, LA; San Antonio, TX; Katy, TX; Corpus Christi, TX; Houston, TX (8); Galveston, TX; The Woodlands, TX; Baytown, TX",,
Southwest Care Center,https://southwestcare.org/,649 Harkle Rd East,Sante Fe,New Mexico,NM,87505,505-989-8200,"HIV, Hepatitis C",David Ginsburg,,URAC,Private,Independent,"Counseling and education, Automatic refill program, Delivery, Copay assistance program help",Medication therapy management,,,,
"SP2, LLC",www.jaxpharmacy.com,3740 St Johns Bluff Rd S #19,Jacksonville,Florida,FL,32224,877-811-6337,,Gregory Balotin,,PCAB,Private,Independent,,,,,,
Specialty Meds Rx,,2901 Druid Park Drive,Baltimore,Maryland,MD,21215,443-423-0199,,Gertha Lewis,,,Private,Independent,,,,,,
Specialty Pharmacy Nursing Network,http://www.spnninc.com/,"1626 Barber Road, Suite B",Sarasota,Florida,FL,34240,877-330-7766,Infusion,Cherylann Gregory,,URAC,Private,Independent,,,,,,
Specialty Therapeutic Care,https://stcare.envolvehealth.com,"8427 South Park Circle, Suite 400",Orlando,Florida,FL,32819,855-422-2742,"Hemophilia, Bleeding Disorders",Matt Angell,,"JACHO, URAC",Subsidiary,Envolve Health,"Delivery, Pharmacist 24x7, Counseling and education","Clinical programs supporting outcomes, Trend management initiatives, Patient adherence monitoring and support programs, Real-time data analysis and reporting","Patient copay assistance programs, Facilitation of manufacturer sponsored, patient-specific disease education and management, Data collection programs, Clinical trial management, HUB services, Real-time data analysis and reporting",,,
SSM Health Specialty Pharmacy,http://www.deancare.com/,1313 Fish Hatchery Road,Madison,Wisconsin,WI,53713,608-294-3784,"Ankylosing Spondylitis, Crohn's Disease, Growth Hormone, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Psoriasis, Psoriatic Arthritis",Mohammad Kharbat,,,Subsidiary,SSM Health,"Insurance Specialists, Free Delivery, Copay Assistance, Financial Support",,,,,
St. John Specialty Pharmacy,http://www.stjohnprovidence.org/specialty-pharmacy,30055 Northwestern Hwy,Farmington Hills,Michigan,MI,48336,248-865-3770,"Oncology, HIV, Hepatitis C, Multiple Sclerosis, Ulcerative colitis, Crohn's Disease, Transplantation, Rheumatoid arthritis, Auto-immune disorders, Psoriasis, Ankylosing Spondylitis",Michael Ragatzki,,URAC,Subsidiary,Ascension Health,"Counseling and education, Therapy management, Financial assistance help",Prior authorization,,,,
St. Jude Pharmacy,https://www.stjude.org/treatment/patient-resources/resources-on-campus/patient-pharmacy.html,262 Danny Thomas Place,Memphis,Tennessee,TN,38105,866-278-5833,Pediatrics,Wendell Cheatham,,,Subsidiary,St. Jude's Children's Research Hospital,Counseling and education,,,,,
St. Luke's Northland Pharmacy,http://www.slhduluth.com/Find-a-Location/Northland-Pharmacy.aspx,915 East First Street,Duluth,Minnesota,MN,55805,218-249-5555,"Rheumatoid Arthritis, Multiple Sclerosis, Hepatitis C, Oncology, Bleeding disorders, IBD, DVT, Hemophilia, HIV, Osteoarthritis, Psoriasis",Kristopher Haugen,,,Subsidiary,St. Luke's Hospital,Counselimg and education,Medication therapy management,,,,
Stat Script Specialty Pharmacy,https://carepharmacies.com/blog/location/stat-script-specialty-pharmacy/,1800A New York Avenue,Huntington Station,New York,NY,11746,631-271-7828,"Diabetes, Fertility, COPD, IBD, Gastroenterology",Al Thakkar,,,Member,CARE Pharmacies,,,,,,
State CARE Pharmacy,https://carepharmacies.com/blog/location/state-care-pharmacy/,2041 Martin L King Jr SE #100,Washington,District of Columbia,DC,20020,202-610-2100,,,,,Member,CARE Pharmacies,,,,,,
Sterling Specialty Pharmacy,http://www.sterlingspecialtycare.com/,1312 Northland Drive,Mendota Heights,Minnesota,MN,55120,888-618-4126,"Psoriatric arthritis, Hepatitis C, HIV, IBD, Multiple Sclerosis, Oncology, Opthalmology, Osteoporosis, Psoriasis, Rheumatoid Arthritis",Tim Gallagher,,,Private,Independent,"Counseling and education, Delivery",Benefits monitoring,"Reporting capabilities, Guideline adherence",,"Cosentyx, Otzela, Praluent, Repatha",
Stroheckers Pharmacy,http://www.stroheckersrx.com,1286 SE Holgate Blvd. C-1,Portland,Oregon,OR,97202,877-252-9393,"Fertility, HRT, Pain Management, Urology",Ronald Dulwick,,,Private,Independent,24/7 pharmacist,,,,,
"Success Meds, LLC",http://www.successmeds.com,9002-C Lincoln Drive West,Marlton,New Jersey,NJ,8053,800-504-9441,Fertility,Joe Dweck,,,Private,Independent,"Counseling and education, DesignRx",,,,,
Summit Cancer Centers,http://www.summitcancercenters.com,13424 E. Mission,Spokane Valley,Washington,WA,99216,855-786-6482,Oncology,Manpreet Chalal ,,,Private,Independent,,,,,,
Superior Biologics NY,https://www.superiorbiologics.com,200 Saw Mill River Road,Hawthorne,New York,NY,10532,855-747-1150,"Immunology, Hemophilia, Bleeding Disorders, Hepatitis C, Growth Hormone, Rheumatoid Arthritis",Kam Ghazvini,,"URAC, ACHC",Private,Independent,"Counseling and education, 24x7 pharmacist and nurse access, Customized clinical programs",,,"Schaumburg, IL; Las vegas, NV",Helimbra,
Surecare Specialty Pharmacy,www.mysurecare.com,4005 N Mesa St,El Paso,Texas,TX,79902,(915) 532-2400,"Hepatitis C, HIV, Crohn's Disease, Rheumatoid Arthritis, High Cholesterol",Daniel Moreno,,ACHC,Private,Independent,Financial assistance,,,,,
SwedishAmerican Specialty Pharmacy,https://www.swedishamerican.org/locations/specialty-pharmacy-swedishamerican,1401 East State Street,Rockford,Illinois,IL,61104,779-696-9204,"Rheumatoid Arthritis, Multiple Sclerosis, Crohn's disease, Growth hormone, Hemophilia, HIV, Psoriatric arthritis, Hepatitis, Hyperlipidemia, Asthma",Lindsay Cwynar,,,Subsidiary,UW Health,"24x7 support,  Benefits investigation, Copay assistance, Financial information assistance, Counseling and education, Refill and side-effect management","Adherence/compliance monitoring, Clinical interventions and follow-up",,,,
Taconic Pharmacy,http://www.taconicrx.com/,3659 Lee Road,Jefferson Valley,New York,NY,10535,914-245-3334,Fertility,Anthony Ciarletta,,,Subsidiary,Westchester Pharmacy Group,,,,,,
Target Pharmacy,http://www.target.com,1000 Nicollet Mall,Minneapolis,Minnesota,MN,55403,612-304-6073,"Rheumatoid Arthritis, Multiple Sclerosis, Hepatitis C, Oncology, Bleeding disorders, IBD, DVT, Hemophilia, HIV, Osteoarthritis, Psoriasis",,,,Subsidiary,CVS Health,"Counseling and education, 24x7 support, Benefit investigation, Prior authorization processing, Financial and co-pay assistance",,,"1,650 locations",,
TCH Specialty Pharmacy,http://www.texaschildrenshealthplan.org/for-members/star/pharmacy-services,"PO Box 301011, NB 8360",Houston,Texas,TX,77230,800-990-8247,,Jonathan Vecchiet,,,Subsidiary,Texas Children's Health Plan,,,,,,
Texas Oncology,http://www.texasoncology.com,"12221 Merit Dr., Suite 500",Dallas,Texas,TX,75251,888-864-4226,Oncology,James Schwartz ,,,Private,Independent,,,,,,
Texas Oncology Pharmacy Services ,http://www.texasoncology.com/who-we-are/affiliations/oncology-pharmacy-services,3410 Worth St #100,Dallas,Texas,TX,75246,214-370-1600,Oncology,James Schwartz,,,Subsidiary,Texas Oncology,"Counseling and education, delivery",,,38 Texas locations,,
TFP Specialty,https://www.tampafamilypharmacy.com/,2919 W. Swann Avenue,Tampa,Florida,FL,33609,813-871-5161,"HRT, Dermatology, Pain Management, Podiatry, Wound Care, Hospice and Palliative Care, Pediatrics and NICU, Endocrinology, Allergy and ENT",Haley Miller,,"URAC, ACHC",Private,Independent,"Counseling and education, Patient support programs, Refills and delivery",,,,,
The Alliance Pharmacy,http://thealliancepharmacy.org/,44 Bond Street,Westbury,New York,NY,11590,516-876-0100,"Hemophilia, Bleeding Disorders",Vincent Fusaro,,"URAC, ACHC",Private,Independent,"Counseling and education, 24x7 support, Delivery, Reimbursement support, ",,,,,
The Chemist Shop Pharmacy,http://www.thechemistshoppharmacy.com/,30 East 40th Street,New York,New York,NY,10016,212-684-5125,,,,PCAB,Private,Independent,,,,"Long Island City, NY",,
"The Community, A Walgreens Pharmacy",http://www.walgreens.com,200 Wilmot Road ,Deerfield,Illinois,IL,60015,847-914-2500,"Oncology, Crohn's Disease, Ulcerative Colitis, Cystic Fibrosis, Hepatitis C, HIV, Fertility, Multiple Sclerosis, Psoriasis, Psoriatic Arthritis, Rheumatoid Arthritis, Transplantation",Ray Trancredi,,"URAC, ACHC",Subsidiary,Walgreens Boots Alliance,"Counseling and education, 24x7 support, Insurance verification, Refill reminders, Financial assistance, Delivery",,,"San Francisco, CA; Sherman Oaks, CA; West Hollywood, CA; Washington, DC; Atlanta, GA; Chciago, IL; Indianapolis, IN; Baltimore, MD; Boston, MA; Minneapolis, MN; St. Louis, MO; Las Vegas, NV; Bronx, NY; Hawthorne, NY; Philadelphia, PA; Memphis, TN; Dallas, TX (2); Houston, TX; Seattle, WA; Milwaukee, WI","Arixtra, Fragmin, Heparin, Iprivask, Lovenox,Actimunne, Afinitor, Afinitor Disperz, Alecensa, Bosulif, Cabomeyyx, Cotellic, Eligard, Erivedge, Farydak, Gleevec, Hycamtin, Ibrnace, Inlyta, Jakafi, Lonsurf,Lupron Depot, Matulane, Mekinist, Nexavar, Ninlaro, Odomzo, Ponalyst, Purixan, Revlimid, Sandostatin, Sprycel, Stivarga, Sutent, Sylatron, Tafinlar, Tarceva, Targretin, Tasigna, Temodar, Thalomid, Trelstar, Tykerb, Votrient, Xalkori, Xeloda, Xtandi, Zykadia, Zelboraf, Zoladex, Zolinza, Zytiga, Aranesp, Granix, Leukine, Neulasta, Neumega, Neupogen, Procrit, Zarxio, Baraclude, Copegus, Daklinza, Harvoni, Hepsera, Epculsa, Firazyr, Ruconest, Praluent, Repatha, Esbriet, Ofev, Cuvitru, Gammagard Liqued, Incivek, Infergen, Intron A, Moderiba, Olysio, Pegasys, Pegintron, Rebetol, Ribapak, Ribasphere, Ribatab, Solvadi, Technivie, Tyzeka, Vemlidy, Victrelis, Viekira Pak, Viekira XR, Zepatier, Aranesp, Epogen, Sensipar, Bethkis, Cayston, Kalydeco, Kitibis Pak, Orkambi, Pulmozyme, Tobi, Cerdelga, Kynamro, Vimizim, Genotropin, Geref, Humatrope, Increlex, Norditropin, Omnitrope, Saizen, Sandostatin, Serostim, Somatuline Depot, Somavert, Tev-Tropin, Zomacton, Zorbitive, Kuvan, Mircera, Promacta, Samsca, Gammaked, Gamunex-C, Hizentra, Hyqvia, Actemra, Cimzia, Cosentyx, Enbrel, Humira, Orencia, Ostezia, Otrexup, Rasuvo, Simponi, Stelara, Xeljanz, Bravelle, Cetrotide, Follisitim, Ganirelix Acetate, Gonal-F, Menopur, Novarel, Ovidrel, Pregnyl, Repronex, Exjade, Jadenu, Actimmune, Apokyn, Cystadane, Cystaran, Daraprim, Dupixent, Egrifta, Gattex, Glassia, Hetlioz, Lupaneta Pack, Natpara, Northera, Ocaliva, Ravicti, Stimate, Syprine, Xenazine, Avonex, Ampyra, Aubagio, Betaseron, Copaxone, Extavia, Gilenya, Glatopa, Plegridy, Rebif, Tecfidera, Zinbryta, Astagraf XL, Cellcept, Cyclosporine, Envarsus, Gengraf, Hecoria, Myfortic, Neoral, Prograf, Rapamune, Sandimmune, Zortress, Forteo, Enbrel, Humira, Stelara, Taltz, Adcirca, Latairis, Opsumit, Traceleer, Acthar H.P., Sabril",
The Zangmeister Cancer Center,http://www.zangcenter.com,3100 Plaza Properties Blvd,Columbus,Ohio,OH,43219,614-383-6000,Oncology,Christine Pfaff,,,Private,Independent,,,,,,
Thrifty White Pharmacy,http://www.thriftywhite.com/,"6055 Nathan Lane, Suite 200",Plymouth,Minnesota,MN,55442,262-780-1910,"Acromegaly, Auto Immune, HIV, Cystic Fibrosis, Oncology, Growth Hormone, Hepatitis, Coagulation Disorders, Neutropenia, Osteoarthritis, Osteoporosis, PAH, Transplantation",Tim Weippert,,URAC,Subsidiary,Thrifty White,,,,80+ locations,,
TLCRx,http://www.tlcrxpharmacy.com,"2731 Manhattan Blvd, Suite B17 ",Harvey,Louisiana,LA,70058,504-355-4191 ,"HIV, Hepatitis C, Oncology, Rheumatoid Arthritis, Psoriatic Arthritis, Crohn's Disease",Chad Latimer,,,Subsidiary,Kroger,,,,,,
TNH Advanced Specialty Pharmacy,https://tnhpharmacy.com,15211 Vanowen St. Ste 301,Van Nuys,California,CA,91405,818-988-1288,"Oncology, Crohn's Disease, Cystic Fibrosis, Hepatitis, HIV, Multiple Sclerosis, Psoriasis, Rheumatoid Arthritis, Transplantation, Infusion ",Avo Minasyan,,URAC,Subsidiary,Diplomat,"Delivery, Counseling and education, 24x7 access to pharmacist and clinical specialists, Financial services, Prior Authorization, C0-payment","Coordination of eligibility, benefits, billing, and reimbursement, Patient adherence to utilization","Identify foundations for financial assistance, Product launch support, Monitor compliance",,"Tarceva, REVLIMID, Humira, Cimzia, Simponi, Entyvio, Afinitor, Bosulif, Erivedge, Farydak, Ibrance, Jakafi, Mekinist, Nexavar, Tarceva, Tykerb, Votrient, Xeloda, Xtandi, Harvoni, Solvadi, Plysio, Cosentyx, Enbrel, Otezia, Stelara, Taltz, Erivedge, Cimzia, Orencia, Xeljanz",
TNH Pharmacy II,http://www.tnhpharmacy.com,15211 Vanowen St. Ste # 301,Van Nuys,California,CA,91405,818-988-1288,"Oncology, Crohn's Disease, Cystic Fibrosis, Hepatitis, HIV, Multiple Sclerosis, Psoriasis, Rheumatoid Arthritis, Transplantation, Infusion ",Raymond Shirvanyan,,URAC,Private,Independent,"Delivery, Counseling and education, 24x7 pharmacist, Delivery, Financial assistance",,Limited distribution drugs,,,
"Total Care Rx, Inc.",http://www.totalcarerx.com,57-37 Main Street,Flushing,New York,NY,11355,718-358-1300,,Bob Hopkins,,,Private,Independent,,,,,,
Transcript Pharmacy,http://www.transcriptpharmacy.com,"2506 Lakeland Drive, Suite 201 ",Jackson,Mississippi,MS,39232,516-777-7040,"Asthma, Behavioral Health, Renal disease, Crohn's Disease, Cystic Fibrosis, DVT, Diabetes, Endocrinology, Growth Hormone, Hematology, Hemophilia, Hepatitis, HIV, Multiple Sclerosis, Neurology, Oncology, Osteoporosis, Osteoarthritis, Pain management, Psoriasis, Pulmonology, Rheumatoid arthritis, Transplantation",Clifton Osborne,,URAC,Private,Independent,"Treatment adherence, Benefits investigation, Call customers if medications are not renewed on time and often check in to see if treatments are working or causing any problems",Prior authorization assistance,"Patient assistance program, Customized compliance reports",,,
Transitions Patient Services,http://transitionrx.com/,4 Neshaminy Interplex Dr.,Trevose,Pennsylvania,PA,19053,215-639-6192,,Christopher Di Lascia,,,Private,Independent,,,"Support for New Product Launches and Orphan Drugs, Nationwide Insurance Support and Pharmacy HUB Services, Patient Assistance and Co-Pay Support",,,
Trotta's West Street Pharmacy,http://www.trottaspharmacy.com/,15 Halstead Avenue,Harrison,New York,NY,10528,914-835-1125,"Fertility, Behavioral Health, Immunology",Amy Adler,,,Subsidiary,Westchester Pharmacy Group,"Counseling and education, Delivery",,,,,
Twelvestone Health,,,,,,,,,,,,,,,,,,Helimbra,
Twin Oaks Specialty Pharmacy,http://www.tosprx.com/,3436 34th Street,Lubbock,Texas,TX,79410,806-799-3636,"Bleeding Disorders, Asthma, Crohn's Disease, Cystic Fibrosis, Fertility, Gaucher Disease, Hemophilia, Hepatitis, HIV, Hunter's Syndrome, Immunology, Multiple Sclerosis, Neutropenia, Oncology, Osteoarthritis, Osteoporosis, Parkinson Disease, Psoriasis, PAH, RSV, Rheumatoid Arthritis, Thrombolytic",,,URAC,Private,Independent,"Counseling and education, Refill reminders","Prior authorization, Clinical counseling, Foundation assistance",,,,
Twins Pharmacy,http://carepharmacies.com/twins-pharmacy,"6201 Greenbelt Road, Suite L4",Berwyn Heights,Maryland,MD,20740,301-313-0080,"Asthma, Bleeding disorders, Coagulation disorders, Gastroenterology, Hematopoietic, HIV, HRT, IBD, Lipid disorders, Osteoporosis, Psoriasis, PAH, Renal disease, Seizure disorders, Transplantation",Jeanette Otero,,,Member,CARE Pharmacies,"Counseling and education, Compliance packaging",,,,,
U-M Specialty Pharmacy,http://www.uofmhealth.org/conditions-treatments/specialty-pharmacy-services,4260 Plymouth R,Ann Arbor,Michigan,MI,48109,855-276-3002,"Crohn's Disease, Cystic Fibrosis, Fertility, Growth Hormone, Oncology, Hepatitis C, Multiple Sclerosis, Psoriasis, Rheumatoid Arthritis, Transplantation",Lindsey Clark,,,,,,,,,,
UAB Specialty Pharmacy,https://www.uabmedicine.org/specialty-pharmacy-services,"601 19th Street South, 4th Floor",Birmingham,Alabama,AL,35249,800-897-1912,"Oncology, Crohn's Disease, Hepatitis C, Multiple Sclerosis, Rheumatoid Arthritis, Osteoarthritis, Psoriatric Arthritis, Cystic Fibrosis",Joshua Whitley,,URAC,Subsidiary,UAB Health System,"Counseling and education, Individualized therapy management, Refill reminders, Financial counseling",,,,,
